,country,org_type,flow_type,transaction_type,year,quarter,month,aggregate_type,variable,value,timeframe,measure
139,African Development Bank Group,African Development Bank Group,Upper middle-income,Commitments,2020,3,7,Specific donor,Volume,117.550661,Monthly,Country income
140,African Development Bank Group,African Development Bank Group,Upper middle-income,Commitments,2020,3,8,Specific donor,Volume,0,Monthly,Country income
141,African Development Bank Group,African Development Bank Group,Upper middle-income,Commitments,2020,3,9,Specific donor,Volume,294.4902941,Monthly,Country income
142,African Development Bank Group,African Development Bank Group,Upper middle-income,Commitments,2020,4,10,Specific donor,Volume,0,Monthly,Country income
143,African Development Bank Group,African Development Bank Group,Upper middle-income,Commitments,2020,4,11,Specific donor,Volume,0,Monthly,Country income
144,African Development Bank Group,African Development Bank Group,Upper middle-income,Commitments,2020,4,12,Specific donor,Volume,0,Monthly,Country income
169,Asian Development Bank,Asian Development Bank,High-income,Commitments,2020,1,1,Specific donor,Volume,0,Monthly,Country income
170,Asian Development Bank,Asian Development Bank,High-income,Commitments,2020,1,2,Specific donor,Volume,0,Monthly,Country income
171,Asian Development Bank,Asian Development Bank,High-income,Commitments,2020,1,3,Specific donor,Volume,0,Monthly,Country income
172,Asian Development Bank,Asian Development Bank,High-income,Commitments,2020,2,4,Specific donor,Volume,0,Monthly,Country income
173,Asian Development Bank,Asian Development Bank,High-income,Commitments,2020,2,5,Specific donor,Volume,0,Monthly,Country income
174,Asian Development Bank,Asian Development Bank,High-income,Commitments,2020,2,6,Specific donor,Volume,5,Monthly,Country income
175,Asian Development Bank,Asian Development Bank,High-income,Commitments,2020,3,7,Specific donor,Volume,0,Monthly,Country income
176,Asian Development Bank,Asian Development Bank,High-income,Commitments,2020,3,8,Specific donor,Volume,20,Monthly,Country income
177,Asian Development Bank,Asian Development Bank,High-income,Commitments,2020,3,9,Specific donor,Volume,0,Monthly,Country income
178,Asian Development Bank,Asian Development Bank,High-income,Commitments,2020,4,10,Specific donor,Volume,0,Monthly,Country income
179,Asian Development Bank,Asian Development Bank,High-income,Commitments,2020,4,11,Specific donor,Volume,0,Monthly,Country income
180,Asian Development Bank,Asian Development Bank,High-income,Commitments,2020,4,12,Specific donor,Volume,25,Monthly,Country income
205,Asian Development Bank,Asian Development Bank,Low-income,Commitments,2020,1,1,Specific donor,Volume,12,Monthly,Country income
206,Asian Development Bank,Asian Development Bank,Low-income,Commitments,2020,1,2,Specific donor,Volume,0,Monthly,Country income
207,Asian Development Bank,Asian Development Bank,Low-income,Commitments,2020,1,3,Specific donor,Volume,0,Monthly,Country income
208,Asian Development Bank,Asian Development Bank,Low-income,Commitments,2020,2,4,Specific donor,Volume,0,Monthly,Country income
209,Asian Development Bank,Asian Development Bank,Low-income,Commitments,2020,2,5,Specific donor,Volume,40,Monthly,Country income
210,Asian Development Bank,Asian Development Bank,Low-income,Commitments,2020,2,6,Specific donor,Volume,0,Monthly,Country income
211,Asian Development Bank,Asian Development Bank,Low-income,Commitments,2020,3,7,Specific donor,Volume,0,Monthly,Country income
212,Asian Development Bank,Asian Development Bank,Low-income,Commitments,2020,3,8,Specific donor,Volume,0,Monthly,Country income
213,Asian Development Bank,Asian Development Bank,Low-income,Commitments,2020,3,9,Specific donor,Volume,0,Monthly,Country income
214,Asian Development Bank,Asian Development Bank,Low-income,Commitments,2020,4,10,Specific donor,Volume,30,Monthly,Country income
215,Asian Development Bank,Asian Development Bank,Low-income,Commitments,2020,4,11,Specific donor,Volume,128.28,Monthly,Country income
216,Asian Development Bank,Asian Development Bank,Low-income,Commitments,2020,4,12,Specific donor,Volume,373.89,Monthly,Country income
241,Asian Development Bank,Asian Development Bank,Lower middle-income,Commitments,2020,1,1,Specific donor,Volume,0,Monthly,Country income
242,Asian Development Bank,Asian Development Bank,Lower middle-income,Commitments,2020,1,2,Specific donor,Volume,0,Monthly,Country income
243,Asian Development Bank,Asian Development Bank,Lower middle-income,Commitments,2020,1,3,Specific donor,Volume,406.1161086,Monthly,Country income
244,Asian Development Bank,Asian Development Bank,Lower middle-income,Commitments,2020,2,4,Specific donor,Volume,3228.114757,Monthly,Country income
245,Asian Development Bank,Asian Development Bank,Lower middle-income,Commitments,2020,2,5,Specific donor,Volume,1136.883827,Monthly,Country income
246,Asian Development Bank,Asian Development Bank,Lower middle-income,Commitments,2020,2,6,Specific donor,Volume,2422,Monthly,Country income
247,Asian Development Bank,Asian Development Bank,Lower middle-income,Commitments,2020,3,7,Specific donor,Volume,895.2820448,Monthly,Country income
248,Asian Development Bank,Asian Development Bank,Lower middle-income,Commitments,2020,3,8,Specific donor,Volume,900,Monthly,Country income
249,Asian Development Bank,Asian Development Bank,Lower middle-income,Commitments,2020,3,9,Specific donor,Volume,1785,Monthly,Country income
250,Asian Development Bank,Asian Development Bank,Lower middle-income,Commitments,2020,4,10,Specific donor,Volume,1260.17,Monthly,Country income
251,Asian Development Bank,Asian Development Bank,Lower middle-income,Commitments,2020,4,11,Specific donor,Volume,1546.3,Monthly,Country income
252,Asian Development Bank,Asian Development Bank,Lower middle-income,Commitments,2020,4,12,Specific donor,Volume,3199.455066,Monthly,Country income
277,Asian Development Bank,Asian Development Bank,Upper middle-income,Commitments,2020,1,1,Specific donor,Volume,150.1611164,Monthly,Country income
278,Asian Development Bank,Asian Development Bank,Upper middle-income,Commitments,2020,1,2,Specific donor,Volume,5,Monthly,Country income
279,Asian Development Bank,Asian Development Bank,Upper middle-income,Commitments,2020,1,3,Specific donor,Volume,0,Monthly,Country income
280,Asian Development Bank,Asian Development Bank,Upper middle-income,Commitments,2020,2,4,Specific donor,Volume,1627.915481,Monthly,Country income
281,Asian Development Bank,Asian Development Bank,Upper middle-income,Commitments,2020,2,5,Specific donor,Volume,620.398386,Monthly,Country income
282,Asian Development Bank,Asian Development Bank,Upper middle-income,Commitments,2020,2,6,Specific donor,Volume,228.6481814,Monthly,Country income
283,Asian Development Bank,Asian Development Bank,Upper middle-income,Commitments,2020,3,7,Specific donor,Volume,24,Monthly,Country income
284,Asian Development Bank,Asian Development Bank,Upper middle-income,Commitments,2020,3,8,Specific donor,Volume,1789.94903,Monthly,Country income
285,Asian Development Bank,Asian Development Bank,Upper middle-income,Commitments,2020,3,9,Specific donor,Volume,723.3615491,Monthly,Country income
286,Asian Development Bank,Asian Development Bank,Upper middle-income,Commitments,2020,4,10,Specific donor,Volume,358.9139429,Monthly,Country income
287,Asian Development Bank,Asian Development Bank,Upper middle-income,Commitments,2020,4,11,Specific donor,Volume,1610.53244,Monthly,Country income
288,Asian Development Bank,Asian Development Bank,Upper middle-income,Commitments,2020,4,12,Specific donor,Volume,1975.706526,Monthly,Country income
313,Belgium,Belgium,High-income,Commitments,2020,1,1,Specific donor,Volume,0,Monthly,Country income
314,Belgium,Belgium,High-income,Commitments,2020,1,2,Specific donor,Volume,0,Monthly,Country income
315,Belgium,Belgium,High-income,Commitments,2020,1,3,Specific donor,Volume,0,Monthly,Country income
316,Belgium,Belgium,High-income,Commitments,2020,2,4,Specific donor,Volume,0,Monthly,Country income
317,Belgium,Belgium,High-income,Commitments,2020,2,5,Specific donor,Volume,0,Monthly,Country income
318,Belgium,Belgium,High-income,Commitments,2020,2,6,Specific donor,Volume,0,Monthly,Country income
319,Belgium,Belgium,High-income,Commitments,2020,3,7,Specific donor,Volume,0,Monthly,Country income
320,Belgium,Belgium,High-income,Commitments,2020,3,8,Specific donor,Volume,0,Monthly,Country income
321,Belgium,Belgium,High-income,Commitments,2020,3,9,Specific donor,Volume,0,Monthly,Country income
322,Belgium,Belgium,High-income,Commitments,2020,4,10,Specific donor,Volume,0,Monthly,Country income
323,Belgium,Belgium,High-income,Commitments,2020,4,11,Specific donor,Volume,0,Monthly,Country income
324,Belgium,Belgium,High-income,Commitments,2020,4,12,Specific donor,Volume,0,Monthly,Country income
349,Belgium,Belgium,Low-income,Commitments,2020,1,1,Specific donor,Volume,5.6025,Monthly,Country income
350,Belgium,Belgium,Low-income,Commitments,2020,1,2,Specific donor,Volume,31.374,Monthly,Country income
351,Belgium,Belgium,Low-income,Commitments,2020,1,3,Specific donor,Volume,0,Monthly,Country income
352,Belgium,Belgium,Low-income,Commitments,2020,2,4,Specific donor,Volume,39.2204133,Monthly,Country income
353,Belgium,Belgium,Low-income,Commitments,2020,2,5,Specific donor,Volume,56.4788025,Monthly,Country income
354,Belgium,Belgium,Low-income,Commitments,2020,2,6,Specific donor,Volume,99.08055604,Monthly,Country income
355,Belgium,Belgium,Low-income,Commitments,2020,3,7,Specific donor,Volume,64.76450783,Monthly,Country income
356,Belgium,Belgium,Low-income,Commitments,2020,3,8,Specific donor,Volume,91.61775421,Monthly,Country income
357,Belgium,Belgium,Low-income,Commitments,2020,3,9,Specific donor,Volume,2.241,Monthly,Country income
358,Belgium,Belgium,Low-income,Commitments,2020,4,10,Specific donor,Volume,0,Monthly,Country income
359,Belgium,Belgium,Low-income,Commitments,2020,4,11,Specific donor,Volume,40.0177611,Monthly,Country income
360,Belgium,Belgium,Low-income,Commitments,2020,4,12,Specific donor,Volume,94.24204387,Monthly,Country income
385,Belgium,Belgium,Lower middle-income,Commitments,2020,1,1,Specific donor,Volume,0,Monthly,Country income
386,Belgium,Belgium,Lower middle-income,Commitments,2020,1,2,Specific donor,Volume,0,Monthly,Country income
387,Belgium,Belgium,Lower middle-income,Commitments,2020,1,3,Specific donor,Volume,7.496142176,Monthly,Country income
388,Belgium,Belgium,Lower middle-income,Commitments,2020,2,4,Specific donor,Volume,10.0842759,Monthly,Country income
389,Belgium,Belgium,Lower middle-income,Commitments,2020,2,5,Specific donor,Volume,1.449301761,Monthly,Country income
390,Belgium,Belgium,Lower middle-income,Commitments,2020,2,6,Specific donor,Volume,2.835748411,Monthly,Country income
391,Belgium,Belgium,Lower middle-income,Commitments,2020,3,7,Specific donor,Volume,13.23791531,Monthly,Country income
392,Belgium,Belgium,Lower middle-income,Commitments,2020,3,8,Specific donor,Volume,5.601992414,Monthly,Country income
393,Belgium,Belgium,Lower middle-income,Commitments,2020,3,9,Specific donor,Volume,1.68075,Monthly,Country income
394,Belgium,Belgium,Lower middle-income,Commitments,2020,4,10,Specific donor,Volume,0,Monthly,Country income
395,Belgium,Belgium,Lower middle-income,Commitments,2020,4,11,Specific donor,Volume,29.1325518,Monthly,Country income
396,Belgium,Belgium,Lower middle-income,Commitments,2020,4,12,Specific donor,Volume,72.27225,Monthly,Country income
421,Belgium,Belgium,Upper middle-income,Commitments,2020,1,1,Specific donor,Volume,0,Monthly,Country income
422,Belgium,Belgium,Upper middle-income,Commitments,2020,1,2,Specific donor,Volume,0,Monthly,Country income
423,Belgium,Belgium,Upper middle-income,Commitments,2020,1,3,Specific donor,Volume,0,Monthly,Country income
424,Belgium,Belgium,Upper middle-income,Commitments,2020,2,4,Specific donor,Volume,6.7203108,Monthly,Country income
425,Belgium,Belgium,Upper middle-income,Commitments,2020,2,5,Specific donor,Volume,0,Monthly,Country income
426,Belgium,Belgium,Upper middle-income,Commitments,2020,2,6,Specific donor,Volume,0,Monthly,Country income
427,Belgium,Belgium,Upper middle-income,Commitments,2020,3,7,Specific donor,Volume,3.361892175,Monthly,Country income
428,Belgium,Belgium,Upper middle-income,Commitments,2020,3,8,Specific donor,Volume,0,Monthly,Country income
429,Belgium,Belgium,Upper middle-income,Commitments,2020,3,9,Specific donor,Volume,0,Monthly,Country income
430,Belgium,Belgium,Upper middle-income,Commitments,2020,4,10,Specific donor,Volume,0,Monthly,Country income
431,Belgium,Belgium,Upper middle-income,Commitments,2020,4,11,Specific donor,Volume,40.63273408,Monthly,Country income
432,Belgium,Belgium,Upper middle-income,Commitments,2020,4,12,Specific donor,Volume,1.039760031,Monthly,Country income
457,Canada,Canada,High-income,Commitments,2020,1,1,Specific donor,Volume,0,Monthly,Country income
458,Canada,Canada,High-income,Commitments,2020,1,2,Specific donor,Volume,0,Monthly,Country income
459,Canada,Canada,High-income,Commitments,2020,1,3,Specific donor,Volume,8.271950858,Monthly,Country income
460,Canada,Canada,High-income,Commitments,2020,2,4,Specific donor,Volume,12.59084206,Monthly,Country income
461,Canada,Canada,High-income,Commitments,2020,2,5,Specific donor,Volume,1.2378765,Monthly,Country income
462,Canada,Canada,High-income,Commitments,2020,2,6,Specific donor,Volume,0,Monthly,Country income
463,Canada,Canada,High-income,Commitments,2020,3,7,Specific donor,Volume,3.199091282,Monthly,Country income
464,Canada,Canada,High-income,Commitments,2020,3,8,Specific donor,Volume,0,Monthly,Country income
465,Canada,Canada,High-income,Commitments,2020,3,9,Specific donor,Volume,0,Monthly,Country income
466,Canada,Canada,High-income,Commitments,2020,4,10,Specific donor,Volume,0,Monthly,Country income
467,Canada,Canada,High-income,Commitments,2020,4,11,Specific donor,Volume,0,Monthly,Country income
468,Canada,Canada,High-income,Commitments,2020,4,12,Specific donor,Volume,0,Monthly,Country income
493,Canada,Canada,Low-income,Commitments,2020,1,1,Specific donor,Volume,27.23247752,Monthly,Country income
494,Canada,Canada,Low-income,Commitments,2020,1,2,Specific donor,Volume,86.2007235,Monthly,Country income
495,Canada,Canada,Low-income,Commitments,2020,1,3,Specific donor,Volume,186.2524856,Monthly,Country income
496,Canada,Canada,Low-income,Commitments,2020,2,4,Specific donor,Volume,61.48692209,Monthly,Country income
497,Canada,Canada,Low-income,Commitments,2020,2,5,Specific donor,Volume,6.7887353,Monthly,Country income
498,Canada,Canada,Low-income,Commitments,2020,2,6,Specific donor,Volume,0.19015,Monthly,Country income
499,Canada,Canada,Low-income,Commitments,2020,3,7,Specific donor,Volume,21.32574414,Monthly,Country income
500,Canada,Canada,Low-income,Commitments,2020,3,8,Specific donor,Volume,4.034850656,Monthly,Country income
501,Canada,Canada,Low-income,Commitments,2020,3,9,Specific donor,Volume,6.959521078,Monthly,Country income
502,Canada,Canada,Low-income,Commitments,2020,4,10,Specific donor,Volume,10.629385,Monthly,Country income
503,Canada,Canada,Low-income,Commitments,2020,4,11,Specific donor,Volume,1.731823831,Monthly,Country income
504,Canada,Canada,Low-income,Commitments,2020,4,12,Specific donor,Volume,2.311120674,Monthly,Country income
529,Canada,Canada,Lower middle-income,Commitments,2020,1,1,Specific donor,Volume,2.538310798,Monthly,Country income
530,Canada,Canada,Lower middle-income,Commitments,2020,1,2,Specific donor,Volume,83.07024898,Monthly,Country income
531,Canada,Canada,Lower middle-income,Commitments,2020,1,3,Specific donor,Volume,150.0096448,Monthly,Country income
532,Canada,Canada,Lower middle-income,Commitments,2020,2,4,Specific donor,Volume,87.4572977,Monthly,Country income
533,Canada,Canada,Lower middle-income,Commitments,2020,2,5,Specific donor,Volume,26.54639655,Monthly,Country income
534,Canada,Canada,Lower middle-income,Commitments,2020,2,6,Specific donor,Volume,1.29302,Monthly,Country income
535,Canada,Canada,Lower middle-income,Commitments,2020,3,7,Specific donor,Volume,24.80103367,Monthly,Country income
536,Canada,Canada,Lower middle-income,Commitments,2020,3,8,Specific donor,Volume,0.7606,Monthly,Country income
537,Canada,Canada,Lower middle-income,Commitments,2020,3,9,Specific donor,Volume,6.447805888,Monthly,Country income
538,Canada,Canada,Lower middle-income,Commitments,2020,4,10,Specific donor,Volume,0,Monthly,Country income
539,Canada,Canada,Lower middle-income,Commitments,2020,4,11,Specific donor,Volume,8.427136915,Monthly,Country income
540,Canada,Canada,Lower middle-income,Commitments,2020,4,12,Specific donor,Volume,5.968386063,Monthly,Country income
565,Canada,Canada,Upper middle-income,Commitments,2020,1,1,Specific donor,Volume,10.99322638,Monthly,Country income
566,Canada,Canada,Upper middle-income,Commitments,2020,1,2,Specific donor,Volume,29.09295,Monthly,Country income
567,Canada,Canada,Upper middle-income,Commitments,2020,1,3,Specific donor,Volume,64.64297926,Monthly,Country income
568,Canada,Canada,Upper middle-income,Commitments,2020,2,4,Specific donor,Volume,38.11527105,Monthly,Country income
569,Canada,Canada,Upper middle-income,Commitments,2020,2,5,Specific donor,Volume,4.2369223,Monthly,Country income
570,Canada,Canada,Upper middle-income,Commitments,2020,2,6,Specific donor,Volume,0,Monthly,Country income
571,Canada,Canada,Upper middle-income,Commitments,2020,3,7,Specific donor,Volume,2.089091305,Monthly,Country income
572,Canada,Canada,Upper middle-income,Commitments,2020,3,8,Specific donor,Volume,1.5212,Monthly,Country income
573,Canada,Canada,Upper middle-income,Commitments,2020,3,9,Specific donor,Volume,6.8454,Monthly,Country income
574,Canada,Canada,Upper middle-income,Commitments,2020,4,10,Specific donor,Volume,2.730554,Monthly,Country income
575,Canada,Canada,Upper middle-income,Commitments,2020,4,11,Specific donor,Volume,0,Monthly,Country income
576,Canada,Canada,Upper middle-income,Commitments,2020,4,12,Specific donor,Volume,0,Monthly,Country income
601,Denmark,Denmark,High-income,Commitments,2020,1,1,Specific donor,Volume,0,Monthly,Country income
602,Denmark,Denmark,High-income,Commitments,2020,1,2,Specific donor,Volume,0,Monthly,Country income
603,Denmark,Denmark,High-income,Commitments,2020,1,3,Specific donor,Volume,0,Monthly,Country income
604,Denmark,Denmark,High-income,Commitments,2020,2,4,Specific donor,Volume,0,Monthly,Country income
605,Denmark,Denmark,High-income,Commitments,2020,2,5,Specific donor,Volume,0,Monthly,Country income
606,Denmark,Denmark,High-income,Commitments,2020,2,6,Specific donor,Volume,0,Monthly,Country income
607,Denmark,Denmark,High-income,Commitments,2020,3,7,Specific donor,Volume,2.270999849,Monthly,Country income
608,Denmark,Denmark,High-income,Commitments,2020,3,8,Specific donor,Volume,0,Monthly,Country income
609,Denmark,Denmark,High-income,Commitments,2020,3,9,Specific donor,Volume,0,Monthly,Country income
610,Denmark,Denmark,High-income,Commitments,2020,4,10,Specific donor,Volume,0,Monthly,Country income
611,Denmark,Denmark,High-income,Commitments,2020,4,11,Specific donor,Volume,0,Monthly,Country income
612,Denmark,Denmark,High-income,Commitments,2020,4,12,Specific donor,Volume,0,Monthly,Country income
637,Denmark,Denmark,Low-income,Commitments,2020,1,1,Specific donor,Volume,0,Monthly,Country income
638,Denmark,Denmark,Low-income,Commitments,2020,1,2,Specific donor,Volume,0,Monthly,Country income
639,Denmark,Denmark,Low-income,Commitments,2020,1,3,Specific donor,Volume,13.41485968,Monthly,Country income
640,Denmark,Denmark,Low-income,Commitments,2020,2,4,Specific donor,Volume,24.24671,Monthly,Country income
641,Denmark,Denmark,Low-income,Commitments,2020,2,5,Specific donor,Volume,9.841,Monthly,Country income
642,Denmark,Denmark,Low-income,Commitments,2020,2,6,Specific donor,Volume,42.1648997,Monthly,Country income
643,Denmark,Denmark,Low-income,Commitments,2020,3,7,Specific donor,Volume,6.29824,Monthly,Country income
644,Denmark,Denmark,Low-income,Commitments,2020,3,8,Specific donor,Volume,1.61998,Monthly,Country income
645,Denmark,Denmark,Low-income,Commitments,2020,3,9,Specific donor,Volume,14.32770115,Monthly,Country income
646,Denmark,Denmark,Low-income,Commitments,2020,4,10,Specific donor,Volume,6.298239849,Monthly,Country income
647,Denmark,Denmark,Low-income,Commitments,2020,4,11,Specific donor,Volume,8.147772831,Monthly,Country income
648,Denmark,Denmark,Low-income,Commitments,2020,4,12,Specific donor,Volume,57.64148794,Monthly,Country income
673,Denmark,Denmark,Lower middle-income,Commitments,2020,1,1,Specific donor,Volume,-0.0066616,Monthly,Country income
674,Denmark,Denmark,Lower middle-income,Commitments,2020,1,2,Specific donor,Volume,0.402091754,Monthly,Country income
675,Denmark,Denmark,Lower middle-income,Commitments,2020,1,3,Specific donor,Volume,5.243081016,Monthly,Country income
676,Denmark,Denmark,Lower middle-income,Commitments,2020,2,4,Specific donor,Volume,0.418529857,Monthly,Country income
677,Denmark,Denmark,Lower middle-income,Commitments,2020,2,5,Specific donor,Volume,4.369770994,Monthly,Country income
678,Denmark,Denmark,Lower middle-income,Commitments,2020,2,6,Specific donor,Volume,5.794107069,Monthly,Country income
679,Denmark,Denmark,Lower middle-income,Commitments,2020,3,7,Specific donor,Volume,6.6616,Monthly,Country income
680,Denmark,Denmark,Lower middle-income,Commitments,2020,3,8,Specific donor,Volume,0.388565829,Monthly,Country income
681,Denmark,Denmark,Lower middle-income,Commitments,2020,3,9,Specific donor,Volume,0.093852103,Monthly,Country income
682,Denmark,Denmark,Lower middle-income,Commitments,2020,4,10,Specific donor,Volume,0.113638115,Monthly,Country income
683,Denmark,Denmark,Lower middle-income,Commitments,2020,4,11,Specific donor,Volume,3.517318593,Monthly,Country income
684,Denmark,Denmark,Lower middle-income,Commitments,2020,4,12,Specific donor,Volume,20.05377769,Monthly,Country income
709,Denmark,Denmark,Upper middle-income,Commitments,2020,1,1,Specific donor,Volume,0.0366388,Monthly,Country income
710,Denmark,Denmark,Upper middle-income,Commitments,2020,1,2,Specific donor,Volume,0,Monthly,Country income
711,Denmark,Denmark,Upper middle-income,Commitments,2020,1,3,Specific donor,Volume,9.9592434,Monthly,Country income
712,Denmark,Denmark,Upper middle-income,Commitments,2020,2,4,Specific donor,Volume,0.269492,Monthly,Country income
713,Denmark,Denmark,Upper middle-income,Commitments,2020,2,5,Specific donor,Volume,0.9084,Monthly,Country income
714,Denmark,Denmark,Upper middle-income,Commitments,2020,2,6,Specific donor,Volume,9.874983093,Monthly,Country income
715,Denmark,Denmark,Upper middle-income,Commitments,2020,3,7,Specific donor,Volume,7.780041611,Monthly,Country income
716,Denmark,Denmark,Upper middle-income,Commitments,2020,3,8,Specific donor,Volume,-6.3424488,Monthly,Country income
717,Denmark,Denmark,Upper middle-income,Commitments,2020,3,9,Specific donor,Volume,0,Monthly,Country income
718,Denmark,Denmark,Upper middle-income,Commitments,2020,4,10,Specific donor,Volume,0.68117888,Monthly,Country income
719,Denmark,Denmark,Upper middle-income,Commitments,2020,4,11,Specific donor,Volume,2.099604602,Monthly,Country income
720,Denmark,Denmark,Upper middle-income,Commitments,2020,4,12,Specific donor,Volume,20.1276836,Monthly,Country income
745,EC,EC,High-income,Commitments,2020,1,1,Specific donor,Volume,-0.658257367,Monthly,Country income
746,EC,EC,High-income,Commitments,2020,1,2,Specific donor,Volume,9.762164185,Monthly,Country income
747,EC,EC,High-income,Commitments,2020,1,3,Specific donor,Volume,83.74740075,Monthly,Country income
748,EC,EC,High-income,Commitments,2020,2,4,Specific donor,Volume,-6.798049947,Monthly,Country income
749,EC,EC,High-income,Commitments,2020,2,5,Specific donor,Volume,10.23251855,Monthly,Country income
750,EC,EC,High-income,Commitments,2020,2,6,Specific donor,Volume,166.2778404,Monthly,Country income
751,EC,EC,High-income,Commitments,2020,3,7,Specific donor,Volume,27.67635,Monthly,Country income
752,EC,EC,High-income,Commitments,2020,3,8,Specific donor,Volume,0,Monthly,Country income
