"","country","org_type","flow_type","transaction_type","year","aggregate_type","variable","value"
"57","Asian Development Bank","Asian Development Bank","Business & industry","Commitments","2020","Donor","Volume",3139.809
"58","Asian Development Bank","Asian Development Bank","Business & industry","Disbursements","2018","Donor","Volume",1566.17606392
"59","Asian Development Bank","Asian Development Bank","Business & industry","Disbursements","2019","Donor","Volume",2583.52715596
"60","Asian Development Bank","Asian Development Bank","Business & industry","Disbursements","2020","Donor","Volume",2279.18935231
"61","Asian Development Bank","Asian Development Bank","Education","Commitments","2018","Donor","Volume",1613.864
"62","Asian Development Bank","Asian Development Bank","Education","Commitments","2019","Donor","Volume",780
"63","Asian Development Bank","Asian Development Bank","Education","Commitments","2020","Donor","Volume",1375
"64","Asian Development Bank","Asian Development Bank","Education","Disbursements","2018","Donor","Volume",616.60105184
"65","Asian Development Bank","Asian Development Bank","Education","Disbursements","2019","Donor","Volume",566.61663766
"66","Asian Development Bank","Asian Development Bank","Education","Disbursements","2020","Donor","Volume",845.89558376
"67","Asian Development Bank","Asian Development Bank","Governance & security","Commitments","2018","Donor","Volume",2442.5
"68","Asian Development Bank","Asian Development Bank","Governance & security","Commitments","2019","Donor","Volume",2706.8
"69","Asian Development Bank","Asian Development Bank","Governance & security","Commitments","2020","Donor","Volume",6539.882604
"70","Asian Development Bank","Asian Development Bank","Governance & security","Disbursements","2018","Donor","Volume",1799.35567449
"71","Asian Development Bank","Asian Development Bank","Governance & security","Disbursements","2019","Donor","Volume",2879.27714279
"72","Asian Development Bank","Asian Development Bank","Governance & security","Disbursements","2020","Donor","Volume",5003.10216668
"73","Asian Development Bank","Asian Development Bank","Health","Commitments","2018","Donor","Volume",559.5
"74","Asian Development Bank","Asian Development Bank","Health","Commitments","2019","Donor","Volume",651.59
"75","Asian Development Bank","Asian Development Bank","Health","Commitments","2020","Donor","Volume",1305
"76","Asian Development Bank","Asian Development Bank","Health","Disbursements","2018","Donor","Volume",306.88506887
"77","Asian Development Bank","Asian Development Bank","Health","Disbursements","2019","Donor","Volume",217.23024413
"78","Asian Development Bank","Asian Development Bank","Health","Disbursements","2020","Donor","Volume",1030.79114326
"79","Asian Development Bank","Asian Development Bank","Infrastructure","Commitments","2018","Donor","Volume",7996.5
"80","Asian Development Bank","Asian Development Bank","Infrastructure","Commitments","2019","Donor","Volume",8525.54
"81","Asian Development Bank","Asian Development Bank","Infrastructure","Commitments","2020","Donor","Volume",6609.63
"82","Asian Development Bank","Asian Development Bank","Infrastructure","Disbursements","2018","Donor","Volume",5583.19858256
"83","Asian Development Bank","Asian Development Bank","Infrastructure","Disbursements","2019","Donor","Volume",5092.9455135
"84","Asian Development Bank","Asian Development Bank","Infrastructure","Disbursements","2020","Donor","Volume",4495.59460002
"85","Asian Development Bank","Asian Development Bank","Other social services","Commitments","2018","Donor","Volume",80
"86","Asian Development Bank","Asian Development Bank","Other social services","Commitments","2019","Donor","Volume",500
"87","Asian Development Bank","Asian Development Bank","Other social services","Commitments","2020","Donor","Volume",4351.05
"88","Asian Development Bank","Asian Development Bank","Other social services","Disbursements","2018","Donor","Volume",268.33167817
"89","Asian Development Bank","Asian Development Bank","Other social services","Disbursements","2019","Donor","Volume",374.87750138
"90","Asian Development Bank","Asian Development Bank","Other social services","Disbursements","2020","Donor","Volume",4609.88536974
"91","Asian Development Bank","Asian Development Bank","Water & sanitation","Commitments","2018","Donor","Volume",2029.77
"92","Asian Development Bank","Asian Development Bank","Water & sanitation","Commitments","2019","Donor","Volume",853.52
"93","Asian Development Bank","Asian Development Bank","Water & sanitation","Commitments","2020","Donor","Volume",1627.67
"94","Asian Development Bank","Asian Development Bank","Water & sanitation","Disbursements","2018","Donor","Volume",985.46528103
"95","Asian Development Bank","Asian Development Bank","Water & sanitation","Disbursements","2019","Donor","Volume",1070.41535726
"96","Asian Development Bank","Asian Development Bank","Water & sanitation","Disbursements","2020","Donor","Volume",932.51714084
"97","Australia","Australia","Agriculture & food security","Commitments","2018","Donor","Volume",0
"98","Australia","Australia","Agriculture & food security","Commitments","2019","Donor","Volume",0
"99","Australia","Australia","Agriculture & food security","Commitments","2020","Donor","Volume",0
"100","Australia","Australia","Agriculture & food security","Disbursements","2018","Donor","Volume",159.18709879701
"101","Australia","Australia","Agriculture & food security","Disbursements","2019","Donor","Volume",162.591191793042
"102","Australia","Australia","Agriculture & food security","Disbursements","2020","Donor","Volume",56.9531721367644
"103","Australia","Australia","Business & industry","Commitments","2018","Donor","Volume",0
"104","Australia","Australia","Business & industry","Commitments","2019","Donor","Volume",0
"105","Australia","Australia","Business & industry","Commitments","2020","Donor","Volume",0
"106","Australia","Australia","Business & industry","Disbursements","2018","Donor","Volume",191.38961268594
"107","Australia","Australia","Business & industry","Disbursements","2019","Donor","Volume",171.95180488514
"108","Australia","Australia","Business & industry","Disbursements","2020","Donor","Volume",82.7120062677138
"109","Australia","Australia","Education","Commitments","2018","Donor","Volume",0
"110","Australia","Australia","Education","Commitments","2019","Donor","Volume",0
"111","Australia","Australia","Education","Commitments","2020","Donor","Volume",0
"112","Australia","Australia","Education","Disbursements","2018","Donor","Volume",224.590740346407
"113","Australia","Australia","Education","Disbursements","2019","Donor","Volume",220.149685444948
"114","Australia","Australia","Education","Disbursements","2020","Donor","Volume",164.337667828325
"115","Australia","Australia","Governance & security","Commitments","2018","Donor","Volume",0
"116","Australia","Australia","Governance & security","Commitments","2019","Donor","Volume",0
"117","Australia","Australia","Governance & security","Commitments","2020","Donor","Volume",0
"118","Australia","Australia","Governance & security","Disbursements","2018","Donor","Volume",473.392969016054
"119","Australia","Australia","Governance & security","Disbursements","2019","Donor","Volume",450.076169526099
"120","Australia","Australia","Governance & security","Disbursements","2020","Donor","Volume",343.067673488752
"121","Australia","Australia","Health","Commitments","2018","Donor","Volume",0
"122","Australia","Australia","Health","Commitments","2019","Donor","Volume",0
"123","Australia","Australia","Health","Commitments","2020","Donor","Volume",0
"124","Australia","Australia","Health","Disbursements","2018","Donor","Volume",313.15347076937
"125","Australia","Australia","Health","Disbursements","2019","Donor","Volume",294.586171408167
"126","Australia","Australia","Health","Disbursements","2020","Donor","Volume",352.39522972762
"127","Australia","Australia","Infrastructure","Commitments","2018","Donor","Volume",0
"128","Australia","Australia","Infrastructure","Commitments","2019","Donor","Volume",0
"129","Australia","Australia","Infrastructure","Commitments","2020","Donor","Volume",0
"130","Australia","Australia","Infrastructure","Disbursements","2018","Donor","Volume",194.507093949622
"131","Australia","Australia","Infrastructure","Disbursements","2019","Donor","Volume",249.65898253637
"132","Australia","Australia","Infrastructure","Disbursements","2020","Donor","Volume",169.052973668848
"133","Australia","Australia","Other social services","Commitments","2018","Donor","Volume",0
"134","Australia","Australia","Other social services","Commitments","2019","Donor","Volume",0
"135","Australia","Australia","Other social services","Commitments","2020","Donor","Volume",0
"136","Australia","Australia","Other social services","Disbursements","2018","Donor","Volume",72.332179133686
"137","Australia","Australia","Other social services","Disbursements","2019","Donor","Volume",75.0629843877924
"138","Australia","Australia","Other social services","Disbursements","2020","Donor","Volume",62.6117646269488
"139","Australia","Australia","Water & sanitation","Commitments","2018","Donor","Volume",0
"140","Australia","Australia","Water & sanitation","Commitments","2019","Donor","Volume",0
"141","Australia","Australia","Water & sanitation","Commitments","2020","Donor","Volume",0
"142","Australia","Australia","Water & sanitation","Disbursements","2018","Donor","Volume",111.940167903353
"143","Australia","Australia","Water & sanitation","Disbursements","2019","Donor","Volume",107.786570946955
"144","Australia","Australia","Water & sanitation","Disbursements","2020","Donor","Volume",58.818962849747
"145","Belgium","Belgium","Agriculture & food security","Commitments","2018","Donor","Volume",32.504941222
"146","Belgium","Belgium","Agriculture & food security","Commitments","2019","Donor","Volume",66.5516445176
"147","Belgium","Belgium","Agriculture & food security","Commitments","2020","Donor","Volume",108.5254997445
"148","Belgium","Belgium","Agriculture & food security","Disbursements","2018","Donor","Volume",41.368692445685
"149","Belgium","Belgium","Agriculture & food security","Disbursements","2019","Donor","Volume",44.265516463179
"150","Belgium","Belgium","Agriculture & food security","Disbursements","2020","Donor","Volume",1.43740426959
"151","Belgium","Belgium","Business & industry","Commitments","2018","Donor","Volume",93.7517780665
"152","Belgium","Belgium","Business & industry","Commitments","2019","Donor","Volume",607.26017
"153","Belgium","Belgium","Business & industry","Commitments","2020","Donor","Volume",34.78032
"154","Belgium","Belgium","Business & industry","Disbursements","2018","Donor","Volume",129.996160183915
"155","Belgium","Belgium","Business & industry","Disbursements","2019","Donor","Volume",68.38637583063
"156","Belgium","Belgium","Business & industry","Disbursements","2020","Donor","Volume",36.92212982163
"157","Belgium","Belgium","Education","Commitments","2018","Donor","Volume",1.1815
"158","Belgium","Belgium","Education","Commitments","2019","Donor","Volume",8.9848
"159","Belgium","Belgium","Education","Commitments","2020","Donor","Volume",167.76125717634
"160","Belgium","Belgium","Education","Disbursements","2018","Donor","Volume",24.546549582015
"161","Belgium","Belgium","Education","Disbursements","2019","Donor","Volume",30.42046921606
"162","Belgium","Belgium","Education","Disbursements","2020","Donor","Volume",0.098604
"163","Belgium","Belgium","Governance & security","Commitments","2018","Donor","Volume",33.2906422665
"164","Belgium","Belgium","Governance & security","Commitments","2019","Donor","Volume",20.676023423836
"165","Belgium","Belgium","Governance & security","Commitments","2020","Donor","Volume",114.5184402105
"166","Belgium","Belgium","Governance & security","Disbursements","2018","Donor","Volume",38.255151328865
"167","Belgium","Belgium","Governance & security","Disbursements","2019","Donor","Volume",29.292362829345
"168","Belgium","Belgium","Governance & security","Disbursements","2020","Donor","Volume",6.716529056475
"169","Belgium","Belgium","Health","Commitments","2018","Donor","Volume",33.082
"170","Belgium","Belgium","Health","Commitments","2019","Donor","Volume",83.086938
"171","Belgium","Belgium","Health","Commitments","2020","Donor","Volume",101.8866089565
"172","Belgium","Belgium","Health","Disbursements","2018","Donor","Volume",55.333497410715
"173","Belgium","Belgium","Health","Disbursements","2019","Donor","Volume",51.854956987075
"174","Belgium","Belgium","Health","Disbursements","2020","Donor","Volume",9.102440184075
"175","Belgium","Belgium","Infrastructure","Commitments","2018","Donor","Volume",0
"176","Belgium","Belgium","Infrastructure","Commitments","2019","Donor","Volume",17.523675155349
"177","Belgium","Belgium","Infrastructure","Commitments","2020","Donor","Volume",97.83515772
"178","Belgium","Belgium","Infrastructure","Disbursements","2018","Donor","Volume",33.02151596673
"179","Belgium","Belgium","Infrastructure","Disbursements","2019","Donor","Volume",18.281353725613
"180","Belgium","Belgium","Infrastructure","Disbursements","2020","Donor","Volume",3.24102847887
"181","Belgium","Belgium","Other social services","Commitments","2018","Donor","Volume",0.059075
"182","Belgium","Belgium","Other social services","Commitments","2019","Donor","Volume",0.6447851872
"183","Belgium","Belgium","Other social services","Commitments","2020","Donor","Volume",4.482
"184","Belgium","Belgium","Other social services","Disbursements","2018","Donor","Volume",0.145496999
"185","Belgium","Belgium","Other social services","Disbursements","2019","Donor","Volume",0.708759669871
"186","Belgium","Belgium","Other social services","Disbursements","2020","Donor","Volume",2.241
"187","Belgium","Belgium","Water & sanitation","Commitments","2018","Donor","Volume",18.904
"188","Belgium","Belgium","Water & sanitation","Commitments","2019","Donor","Volume",23.02355
"189","Belgium","Belgium","Water & sanitation","Commitments","2020","Donor","Volume",61.465652739
"190","Belgium","Belgium","Water & sanitation","Disbursements","2018","Donor","Volume",24.66991197012
"191","Belgium","Belgium","Water & sanitation","Disbursements","2019","Donor","Volume",20.04324792679
"192","Belgium","Belgium","Water & sanitation","Disbursements","2020","Donor","Volume",2.35287804807
"193","Canada","Canada","Agriculture & food security","Commitments","2018","Donor","Volume",101.62954113778
"194","Canada","Canada","Agriculture & food security","Commitments","2019","Donor","Volume",237.171709775294
"195","Canada","Canada","Agriculture & food security","Commitments","2020","Donor","Volume",101.209188120348
"196","Canada","Canada","Agriculture & food security","Disbursements","2018","Donor","Volume",142.28084356764
"197","Canada","Canada","Agriculture & food security","Disbursements","2019","Donor","Volume",125.270349083965
"198","Canada","Canada","Agriculture & food security","Disbursements","2020","Donor","Volume",183.232919230204
"199","Canada","Canada","Business & industry","Commitments","2018","Donor","Volume",90.3298319196604
"200","Canada","Canada","Business & industry","Commitments","2019","Donor","Volume",54.4082821735335
"201","Canada","Canada","Business & industry","Commitments","2020","Donor","Volume",75.6966246403579
"202","Canada","Canada","Business & industry","Disbursements","2018","Donor","Volume",144.457507127855
"203","Canada","Canada","Business & industry","Disbursements","2019","Donor","Volume",118.182969336791
"204","Canada","Canada","Business & industry","Disbursements","2020","Donor","Volume",93.4480626024629
"205","Canada","Canada","Education","Commitments","2018","Donor","Volume",197.24363523816
"206","Canada","Canada","Education","Commitments","2019","Donor","Volume",302.135238355889
"207","Canada","Canada","Education","Commitments","2020","Donor","Volume",150.634660595764
"208","Canada","Canada","Education","Disbursements","2018","Donor","Volume",216.137141070606
"209","Canada","Canada","Education","Disbursements","2019","Donor","Volume",242.845675641482
"210","Canada","Canada","Education","Disbursements","2020","Donor","Volume",252.913556669842
"211","Canada","Canada","Governance & security","Commitments","2018","Donor","Volume",418.210745402715
"212","Canada","Canada","Governance & security","Commitments","2019","Donor","Volume",505.659672366743
"213","Canada","Canada","Governance & security","Commitments","2020","Donor","Volume",283.10220145206
"214","Canada","Canada","Governance & security","Disbursements","2018","Donor","Volume",366.222569789604
"215","Canada","Canada","Governance & security","Disbursements","2019","Donor","Volume",388.537705807113
"216","Canada","Canada","Governance & security","Disbursements","2020","Donor","Volume",353.172264520163
"217","Canada","Canada","Health","Commitments","2018","Donor","Volume",549.052479791452
"218","Canada","Canada","Health","Commitments","2019","Donor","Volume",143.547812298288
"219","Canada","Canada","Health","Commitments","2020","Donor","Volume",260.113292106488
"220","Canada","Canada","Health","Disbursements","2018","Donor","Volume",794.664258175875
"221","Canada","Canada","Health","Disbursements","2019","Donor","Volume",717.144582652314
"222","Canada","Canada","Health","Disbursements","2020","Donor","Volume",396.30789750954
"223","Canada","Canada","Infrastructure","Commitments","2018","Donor","Volume",14.320400892478
"224","Canada","Canada","Infrastructure","Commitments","2019","Donor","Volume",192.71667905158
"225","Canada","Canada","Infrastructure","Commitments","2020","Donor","Volume",8.7912808609224
"226","Canada","Canada","Infrastructure","Disbursements","2018","Donor","Volume",11.3367604149279
"227","Canada","Canada","Infrastructure","Disbursements","2019","Donor","Volume",94.9303960003128
"228","Canada","Canada","Infrastructure","Disbursements","2020","Donor","Volume",79.0463600846901
"229","Canada","Canada","Other social services","Commitments","2018","Donor","Volume",11.3651953181919
"230","Canada","Canada","Other social services","Commitments","2019","Donor","Volume",24.120453576132
"231","Canada","Canada","Other social services","Commitments","2020","Donor","Volume",18.0023176045937
"232","Canada","Canada","Other social services","Disbursements","2018","Donor","Volume",49.7740544555423
"233","Canada","Canada","Other social services","Disbursements","2019","Donor","Volume",46.0975976606652
"234","Canada","Canada","Other social services","Disbursements","2020","Donor","Volume",18.4480519920868
"235","Canada","Canada","Water & sanitation","Commitments","2018","Donor","Volume",14.4275988291184
"236","Canada","Canada","Water & sanitation","Commitments","2019","Donor","Volume",16.3572412804678
"237","Canada","Canada","Water & sanitation","Commitments","2020","Donor","Volume",22.860208782036
"238","Canada","Canada","Water & sanitation","Disbursements","2018","Donor","Volume",42.8311765872162
"239","Canada","Canada","Water & sanitation","Disbursements","2019","Donor","Volume",25.2013506029935
"240","Canada","Canada","Water & sanitation","Disbursements","2020","Donor","Volume",17.8795306082906
"241","Denmark","Denmark","Agriculture & food security","Commitments","2018","Donor","Volume",68.3216737632
"242","Denmark","Denmark","Agriculture & food security","Commitments","2019","Donor","Volume",81.4967543065
"243","Denmark","Denmark","Agriculture & food security","Commitments","2020","Donor","Volume",13.5575510002
"244","Denmark","Denmark","Agriculture & food security","Disbursements","2018","Donor","Volume",106.819597680048
"245","Denmark","Denmark","Agriculture & food security","Disbursements","2019","Donor","Volume",55.449547512108
"246","Denmark","Denmark","Agriculture & food security","Disbursements","2020","Donor","Volume",63.511062992356
"247","Denmark","Denmark","Business & industry","Commitments","2018","Donor","Volume",44.8180061472
"248","Denmark","Denmark","Business & industry","Commitments","2019","Donor","Volume",77.332813315546
"249","Denmark","Denmark","Business & industry","Commitments","2020","Donor","Volume",24.849669037446
"250","Denmark","Denmark","Business & industry","Disbursements","2018","Donor","Volume",79.245120179808
"251","Denmark","Denmark","Business & industry","Disbursements","2019","Donor","Volume",125.768605955025
"252","Denmark","Denmark","Business & industry","Disbursements","2020","Donor","Volume",44.639998362722
"253","Denmark","Denmark","Education","Commitments","2018","Donor","Volume",95.038484904
"254","Denmark","Denmark","Education","Commitments","2019","Donor","Volume",94.211689513111
"255","Denmark","Denmark","Education","Commitments","2020","Donor","Volume",87.764155345654
"256","Denmark","Denmark","Education","Disbursements","2018","Donor","Volume",126.2409004692
"257","Denmark","Denmark","Education","Disbursements","2019","Donor","Volume",88.421471369086
"258","Denmark","Denmark","Education","Disbursements","2020","Donor","Volume",107.441523784984
"259","Denmark","Denmark","Governance & security","Commitments","2018","Donor","Volume",481.53047927688
"260","Denmark","Denmark","Governance & security","Commitments","2019","Donor","Volume",416.820621917966
"261","Denmark","Denmark","Governance & security","Commitments","2020","Donor","Volume",347.916408835076
"262","Denmark","Denmark","Governance & security","Disbursements","2018","Donor","Volume",422.768122170768
"263","Denmark","Denmark","Governance & security","Disbursements","2019","Donor","Volume",430.880910395157
"264","Denmark","Denmark","Governance & security","Disbursements","2020","Donor","Volume",442.865914285478
"265","Denmark","Denmark","Health","Commitments","2018","Donor","Volume",156.283033104
"266","Denmark","Denmark","Health","Commitments","2019","Donor","Volume",162.401167273913
"267","Denmark","Denmark","Health","Commitments","2020","Donor","Volume",147.3211986104
"268","Denmark","Denmark","Health","Disbursements","2018","Donor","Volume",181.168582324752
"269","Denmark","Denmark","Health","Disbursements","2019","Donor","Volume",186.801490040779
"270","Denmark","Denmark","Health","Disbursements","2020","Donor","Volume",177.813843018642
"271","Denmark","Denmark","Infrastructure","Commitments","2018","Donor","Volume",55.4493164544
"272","Denmark","Denmark","Infrastructure","Commitments","2019","Donor","Volume",69.68250412569
"273","Denmark","Denmark","Infrastructure","Commitments","2020","Donor","Volume",31.87797301076
"274","Denmark","Denmark","Infrastructure","Disbursements","2018","Donor","Volume",102.091515137568
"275","Denmark","Denmark","Infrastructure","Disbursements","2019","Donor","Volume",82.198394101056
"276","Denmark","Denmark","Infrastructure","Disbursements","2020","Donor","Volume",65.740190529026
"277","Denmark","Denmark","Other social services","Commitments","2018","Donor","Volume",57.1824
"278","Denmark","Denmark","Other social services","Commitments","2019","Donor","Volume",42.459557745362
"279","Denmark","Denmark","Other social services","Commitments","2020","Donor","Volume",80.9289622086
"280","Denmark","Denmark","Other social services","Disbursements","2018","Donor","Volume",162.507853191024
"281","Denmark","Denmark","Other social services","Disbursements","2019","Donor","Volume",53.663894655856
"282","Denmark","Denmark","Other social services","Disbursements","2020","Donor","Volume",64.813676304792
"283","Denmark","Denmark","Water & sanitation","Commitments","2018","Donor","Volume",25.1577216
"284","Denmark","Denmark","Water & sanitation","Commitments","2019","Donor","Volume",21.154
"285","Denmark","Denmark","Water & sanitation","Commitments","2020","Donor","Volume",16.63808786
"286","Denmark","Denmark","Water & sanitation","Disbursements","2018","Donor","Volume",35.373843857088
"287","Denmark","Denmark","Water & sanitation","Disbursements","2019","Donor","Volume",37.627858617526
"288","Denmark","Denmark","Water & sanitation","Disbursements","2020","Donor","Volume",30.98830022937
"289","EC","EC","Agriculture & food security","Commitments","2018","Donor","Volume",827.44308204899
"290","EC","EC","Agriculture & food security","Commitments","2019","Donor","Volume",484.382405664927
"291","EC","EC","Agriculture & food security","Commitments","2020","Donor","Volume",683.70895304976
"292","EC","EC","Agriculture & food security","Disbursements","2018","Donor","Volume",884.798893443201
"293","EC","EC","Agriculture & food security","Disbursements","2019","Donor","Volume",827.250977595324
"294","EC","EC","Agriculture & food security","Disbursements","2020","Donor","Volume",752.780780908789
"295","EC","EC","Business & industry","Commitments","2018","Donor","Volume",734.0022418659
"296","EC","EC","Business & industry","Commitments","2019","Donor","Volume",986.310297008586
"297","EC","EC","Business & industry","Commitments","2020","Donor","Volume",1223.01511894139
"298","EC","EC","Business & industry","Disbursements","2018","Donor","Volume",781.334746528611
"299","EC","EC","Business & industry","Disbursements","2019","Donor","Volume",701.109278485372
"300","EC","EC","Business & industry","Disbursements","2020","Donor","Volume",694.757039362473
"301","EC","EC","Education","Commitments","2018","Donor","Volume",1296.81764665566
"302","EC","EC","Education","Commitments","2019","Donor","Volume",470.491708322427
"303","EC","EC","Education","Commitments","2020","Donor","Volume",744.96736463175
"304","EC","EC","Education","Disbursements","2018","Donor","Volume",877.427864268444
"305","EC","EC","Education","Disbursements","2019","Donor","Volume",736.351272783234
"306","EC","EC","Education","Disbursements","2020","Donor","Volume",1115.69085884846
"307","EC","EC","Governance & security","Commitments","2018","Donor","Volume",2797.29144367782
"308","EC","EC","Governance & security","Commitments","2019","Donor","Volume",3477.21225641114
"309","EC","EC","Governance & security","Commitments","2020","Donor","Volume",2310.81651777778
"310","EC","EC","Governance & security","Disbursements","2018","Donor","Volume",3444.85911916393
"311","EC","EC","Governance & security","Disbursements","2019","Donor","Volume",2922.74780894318
"312","EC","EC","Governance & security","Disbursements","2020","Donor","Volume",3210.52874365347
"313","EC","EC","Health","Commitments","2018","Donor","Volume",735.958431365845
"314","EC","EC","Health","Commitments","2019","Donor","Volume",1120.81930485952
"315","EC","EC","Health","Commitments","2020","Donor","Volume",914.96989131075
"316","EC","EC","Health","Disbursements","2018","Donor","Volume",786.674652608876
"317","EC","EC","Health","Disbursements","2019","Donor","Volume",823.768190539129
"318","EC","EC","Health","Disbursements","2020","Donor","Volume",1065.14812706917
"319","EC","EC","Infrastructure","Commitments","2018","Donor","Volume",1374.11550339886
"320","EC","EC","Infrastructure","Commitments","2019","Donor","Volume",1030.47961264538
"321","EC","EC","Infrastructure","Commitments","2020","Donor","Volume",904.880520618264
"322","EC","EC","Infrastructure","Disbursements","2018","Donor","Volume",1398.41497711426
"323","EC","EC","Infrastructure","Disbursements","2019","Donor","Volume",951.231041333462
