"","country","org_type","flow_type","transaction_type","year","aggregate_type","variable","value","measure"
"67","Australia","Australia","Missing","Commitments","2018","Donor","Volume",0,"Poverty"
"68","Australia","Australia","Missing","Commitments","2019","Donor","Volume",0,"Poverty"
"69","Australia","Australia","Missing","Commitments","2020","Donor","Volume",0,"Poverty"
"70","Australia","Australia","Missing","Disbursements","2018","Donor","Volume",1112.0509357742,"Poverty"
"71","Australia","Australia","Missing","Disbursements","2019","Donor","Volume",1135.398614337,"Poverty"
"72","Australia","Australia","Missing","Disbursements","2020","Donor","Volume",954.9963671964,"Poverty"
"73","Belgium","Belgium","5-20%","Commitments","2018","Donor","Volume",5.829521,"Poverty"
"74","Belgium","Belgium","5-20%","Commitments","2019","Donor","Volume",25.280981,"Poverty"
"75","Belgium","Belgium","5-20%","Commitments","2020","Donor","Volume",7.49614217634,"Poverty"
"76","Belgium","Belgium","5-20%","Disbursements","2018","Donor","Volume",9.88472451678,"Poverty"
"77","Belgium","Belgium","5-20%","Disbursements","2019","Donor","Volume",4.078883430028,"Poverty"
"78","Belgium","Belgium","5-20%","Disbursements","2020","Donor","Volume",0,"Poverty"
"79","Belgium","Belgium","Above 20%","Commitments","2018","Donor","Volume",281.932441487745,"Poverty"
"80","Belgium","Belgium","Above 20%","Commitments","2019","Donor","Volume",386.289612935268,"Poverty"
"81","Belgium","Belgium","Above 20%","Commitments","2020","Donor","Volume",633.8789816535,"Poverty"
"82","Belgium","Belgium","Above 20%","Disbursements","2018","Donor","Volume",301.213547884485,"Poverty"
"83","Belgium","Belgium","Above 20%","Disbursements","2019","Donor","Volume",256.974214265195,"Poverty"
"84","Belgium","Belgium","Above 20%","Disbursements","2020","Donor","Volume",117.367900047945,"Poverty"
"85","Belgium","Belgium","Less than 5%","Commitments","2018","Donor","Volume",31.96293046,"Poverty"
"86","Belgium","Belgium","Less than 5%","Commitments","2019","Donor","Volume",38.036536363221,"Poverty"
"87","Belgium","Belgium","Less than 5%","Commitments","2020","Donor","Volume",225.3307740075,"Poverty"
"88","Belgium","Belgium","Less than 5%","Disbursements","2018","Donor","Volume",126.146620159465,"Poverty"
"89","Belgium","Belgium","Less than 5%","Disbursements","2019","Donor","Volume",76.843578401502,"Poverty"
"90","Belgium","Belgium","Less than 5%","Disbursements","2020","Donor","Volume",35.32247024976,"Poverty"
"91","Belgium","Belgium","Missing","Commitments","2018","Donor","Volume",265.884779931905,"Poverty"
"92","Belgium","Belgium","Missing","Commitments","2019","Donor","Volume",647.703412256758,"Poverty"
"93","Belgium","Belgium","Missing","Commitments","2020","Donor","Volume",2111.54600941079,"Poverty"
"94","Belgium","Belgium","Missing","Disbursements","2018","Donor","Volume",825.787825986685,"Poverty"
"95","Belgium","Belgium","Missing","Disbursements","2019","Donor","Volume",885.729915986894,"Poverty"
"96","Belgium","Belgium","Missing","Disbursements","2020","Donor","Volume",1138.70447024274,"Poverty"
"97","Canada","Canada","5-20%","Commitments","2018","Donor","Volume",211.26817511931,"Poverty"
"98","Canada","Canada","5-20%","Commitments","2019","Donor","Volume",204.513129099951,"Poverty"
"99","Canada","Canada","5-20%","Commitments","2020","Donor","Volume",121.948219781291,"Poverty"
"100","Canada","Canada","5-20%","Disbursements","2018","Donor","Volume",231.973585187449,"Poverty"
"101","Canada","Canada","5-20%","Disbursements","2019","Donor","Volume",250.922324141589,"Poverty"
"102","Canada","Canada","5-20%","Disbursements","2020","Donor","Volume",211.532600853225,"Poverty"
"103","Canada","Canada","Above 20%","Commitments","2018","Donor","Volume",872.025249332211,"Poverty"
"104","Canada","Canada","Above 20%","Commitments","2019","Donor","Volume",770.63974861295,"Poverty"
"105","Canada","Canada","Above 20%","Commitments","2020","Donor","Volume",542.741728157076,"Poverty"
"106","Canada","Canada","Above 20%","Disbursements","2018","Donor","Volume",1174.54056619065,"Poverty"
"107","Canada","Canada","Above 20%","Disbursements","2019","Donor","Volume",873.927581581638,"Poverty"
"108","Canada","Canada","Above 20%","Disbursements","2020","Donor","Volume",696.024363760032,"Poverty"
"109","Canada","Canada","Less than 5%","Commitments","2018","Donor","Volume",325.504390402659,"Poverty"
"110","Canada","Canada","Less than 5%","Commitments","2019","Donor","Volume",463.862707482893,"Poverty"
"111","Canada","Canada","Less than 5%","Commitments","2020","Donor","Volume",279.19784174166,"Poverty"
"112","Canada","Canada","Less than 5%","Disbursements","2018","Donor","Volume",463.79432343349,"Poverty"
"113","Canada","Canada","Less than 5%","Disbursements","2019","Donor","Volume",427.959635645467,"Poverty"
"114","Canada","Canada","Less than 5%","Disbursements","2020","Donor","Volume",384.594840655664,"Poverty"
"115","Canada","Canada","Missing","Commitments","2018","Donor","Volume",459.73426217783,"Poverty"
"116","Canada","Canada","Missing","Commitments","2019","Donor","Volume",941.294345759883,"Poverty"
"117","Canada","Canada","Missing","Commitments","2020","Donor","Volume",220.10896077332,"Poverty"
"118","Canada","Canada","Missing","Disbursements","2018","Donor","Volume",735.362681390414,"Poverty"
"119","Canada","Canada","Missing","Disbursements","2019","Donor","Volume",968.503834564053,"Poverty"
"120","Canada","Canada","Missing","Disbursements","2020","Donor","Volume",650.66357849424,"Poverty"
"121","Denmark","Denmark","5-20%","Commitments","2018","Donor","Volume",33.715783088064,"Poverty"
"122","Denmark","Denmark","5-20%","Commitments","2019","Donor","Volume",101.6604825304,"Poverty"
"123","Denmark","Denmark","5-20%","Commitments","2020","Donor","Volume",48.838188986886,"Poverty"
"124","Denmark","Denmark","5-20%","Disbursements","2018","Donor","Volume",96.6405893508,"Poverty"
"125","Denmark","Denmark","5-20%","Disbursements","2019","Donor","Volume",141.023221976001,"Poverty"
"126","Denmark","Denmark","5-20%","Disbursements","2020","Donor","Volume",66.193304544396,"Poverty"
"127","Denmark","Denmark","Above 20%","Commitments","2018","Donor","Volume",481.644641513376,"Poverty"
"128","Denmark","Denmark","Above 20%","Commitments","2019","Donor","Volume",407.627925636243,"Poverty"
"129","Denmark","Denmark","Above 20%","Commitments","2020","Donor","Volume",142.788070950172,"Poverty"
"130","Denmark","Denmark","Above 20%","Disbursements","2018","Donor","Volume",474.537684623904,"Poverty"
"131","Denmark","Denmark","Above 20%","Disbursements","2019","Donor","Volume",503.612327126189,"Poverty"
"132","Denmark","Denmark","Above 20%","Disbursements","2020","Donor","Volume",351.240581976834,"Poverty"
"133","Denmark","Denmark","Less than 5%","Commitments","2018","Donor","Volume",114.455060536608,"Poverty"
"134","Denmark","Denmark","Less than 5%","Commitments","2019","Donor","Volume",64.878580249717,"Poverty"
"135","Denmark","Denmark","Less than 5%","Commitments","2020","Donor","Volume",69.752621913346,"Poverty"
"136","Denmark","Denmark","Less than 5%","Disbursements","2018","Donor","Volume",175.228485200208,"Poverty"
"137","Denmark","Denmark","Less than 5%","Disbursements","2019","Donor","Volume",101.339325568219,"Poverty"
"138","Denmark","Denmark","Less than 5%","Disbursements","2020","Donor","Volume",88.613771777872,"Poverty"
"139","Denmark","Denmark","Missing","Commitments","2018","Donor","Volume",1248.68720929234,"Poverty"
"140","Denmark","Denmark","Missing","Commitments","2019","Donor","Volume",1147.37937002974,"Poverty"
"141","Denmark","Denmark","Missing","Commitments","2020","Donor","Volume",1491.23373564192,"Poverty"
"142","Denmark","Denmark","Missing","Disbursements","2018","Donor","Volume",1927.90512401731,"Poverty"
"143","Denmark","Denmark","Missing","Disbursements","2019","Donor","Volume",2146.78294035522,"Poverty"
"144","Denmark","Denmark","Missing","Disbursements","2020","Donor","Volume",1681.64416522345,"Poverty"
"145","EC","EC","5-20%","Commitments","2018","Donor","Volume",1176.50476890715,"Poverty"
"146","EC","EC","5-20%","Commitments","2019","Donor","Volume",734.783488081551,"Poverty"
"147","EC","EC","5-20%","Commitments","2020","Donor","Volume",621.628488389628,"Poverty"
"148","EC","EC","5-20%","Disbursements","2018","Donor","Volume",796.941528320374,"Poverty"
"149","EC","EC","5-20%","Disbursements","2019","Donor","Volume",903.072810250981,"Poverty"
"150","EC","EC","5-20%","Disbursements","2020","Donor","Volume",1234.7908442513,"Poverty"
"151","EC","EC","Above 20%","Commitments","2018","Donor","Volume",2685.68501191863,"Poverty"
"152","EC","EC","Above 20%","Commitments","2019","Donor","Volume",2625.34117124679,"Poverty"
"153","EC","EC","Above 20%","Commitments","2020","Donor","Volume",2613.98169793515,"Poverty"
"154","EC","EC","Above 20%","Disbursements","2018","Donor","Volume",4582.89018928482,"Poverty"
"155","EC","EC","Above 20%","Disbursements","2019","Donor","Volume",3503.11106555714,"Poverty"
"156","EC","EC","Above 20%","Disbursements","2020","Donor","Volume",3884.22028876157,"Poverty"
"157","EC","EC","Less than 5%","Commitments","2018","Donor","Volume",6184.59431116207,"Poverty"
"158","EC","EC","Less than 5%","Commitments","2019","Donor","Volume",5763.91524893402,"Poverty"
"159","EC","EC","Less than 5%","Commitments","2020","Donor","Volume",5124.62866273498,"Poverty"
"160","EC","EC","Less than 5%","Disbursements","2018","Donor","Volume",4476.12714709413,"Poverty"
"161","EC","EC","Less than 5%","Disbursements","2019","Donor","Volume",4812.84636263375,"Poverty"
"162","EC","EC","Less than 5%","Disbursements","2020","Donor","Volume",5272.10254748481,"Poverty"
"163","EC","EC","Missing","Commitments","2018","Donor","Volume",6304.38141649196,"Poverty"
"164","EC","EC","Missing","Commitments","2019","Donor","Volume",5116.561302557,"Poverty"
"165","EC","EC","Missing","Commitments","2020","Donor","Volume",5039.02234869554,"Poverty"
"166","EC","EC","Missing","Disbursements","2018","Donor","Volume",3038.01258362169,"Poverty"
"167","EC","EC","Missing","Disbursements","2019","Donor","Volume",2986.85756057144,"Poverty"
"168","EC","EC","Missing","Disbursements","2020","Donor","Volume",3153.64389634162,"Poverty"
"169","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","5-20%","Commitments","2018","Donor","Volume",11.17078034319,"Poverty"
"170","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","5-20%","Commitments","2019","Donor","Volume",441.533131037702,"Poverty"
"171","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","5-20%","Commitments","2020","Donor","Volume",289.38869242596,"Poverty"
"172","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","5-20%","Disbursements","2018","Donor","Volume",0,"Poverty"
"173","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","5-20%","Disbursements","2019","Donor","Volume",0,"Poverty"
"174","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","5-20%","Disbursements","2020","Donor","Volume",0,"Poverty"
"175","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Above 20%","Commitments","2018","Donor","Volume",0,"Poverty"
"176","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Above 20%","Commitments","2019","Donor","Volume",0,"Poverty"
"177","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Above 20%","Commitments","2020","Donor","Volume",0,"Poverty"
"178","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Above 20%","Disbursements","2018","Donor","Volume",0,"Poverty"
"179","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Above 20%","Disbursements","2019","Donor","Volume",0,"Poverty"
"180","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Above 20%","Disbursements","2020","Donor","Volume",0,"Poverty"
"181","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Less than 5%","Commitments","2018","Donor","Volume",6206.40760734001,"Poverty"
"182","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Less than 5%","Commitments","2019","Donor","Volume",7108.00221126828,"Poverty"
"183","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Less than 5%","Commitments","2020","Donor","Volume",8411.87567731901,"Poverty"
"184","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Less than 5%","Disbursements","2018","Donor","Volume",1076.73895301839,"Poverty"
"185","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Less than 5%","Disbursements","2019","Donor","Volume",853.085691812024,"Poverty"
"186","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Less than 5%","Disbursements","2020","Donor","Volume",1462.21587840717,"Poverty"
"187","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Missing","Commitments","2018","Donor","Volume",0,"Poverty"
"188","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Missing","Commitments","2019","Donor","Volume",110.602888,"Poverty"
"189","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Missing","Commitments","2020","Donor","Volume",20.169,"Poverty"
"190","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Missing","Disbursements","2018","Donor","Volume",4.96133483265,"Poverty"
"191","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Missing","Disbursements","2019","Donor","Volume",4.517741561014,"Poverty"
"192","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development","Missing","Disbursements","2020","Donor","Volume",3.071671839765,"Poverty"
"193","Finland","Finland","5-20%","Commitments","2018","Donor","Volume",0,"Poverty"
"194","Finland","Finland","5-20%","Commitments","2019","Donor","Volume",0,"Poverty"
"195","Finland","Finland","5-20%","Commitments","2020","Donor","Volume",0,"Poverty"
"196","Finland","Finland","5-20%","Disbursements","2018","Donor","Volume",20.8885737859754,"Poverty"
"197","Finland","Finland","5-20%","Disbursements","2019","Donor","Volume",19.528510385747,"Poverty"
"198","Finland","Finland","5-20%","Disbursements","2020","Donor","Volume",0,"Poverty"
"199","Finland","Finland","Above 20%","Commitments","2018","Donor","Volume",0,"Poverty"
"200","Finland","Finland","Above 20%","Commitments","2019","Donor","Volume",0,"Poverty"
"201","Finland","Finland","Above 20%","Commitments","2020","Donor","Volume",0,"Poverty"
"202","Finland","Finland","Above 20%","Disbursements","2018","Donor","Volume",179.012995472285,"Poverty"
"203","Finland","Finland","Above 20%","Disbursements","2019","Donor","Volume",93.835627107552,"Poverty"
"204","Finland","Finland","Above 20%","Disbursements","2020","Donor","Volume",0,"Poverty"
"205","Finland","Finland","Less than 5%","Commitments","2018","Donor","Volume",0,"Poverty"
"206","Finland","Finland","Less than 5%","Commitments","2019","Donor","Volume",0,"Poverty"
"207","Finland","Finland","Less than 5%","Commitments","2020","Donor","Volume",0,"Poverty"
"208","Finland","Finland","Less than 5%","Disbursements","2018","Donor","Volume",64.2842354147712,"Poverty"
"209","Finland","Finland","Less than 5%","Disbursements","2019","Donor","Volume",46.410291772999,"Poverty"
"210","Finland","Finland","Less than 5%","Disbursements","2020","Donor","Volume",0,"Poverty"
"211","Finland","Finland","Missing","Commitments","2018","Donor","Volume",0,"Poverty"
"212","Finland","Finland","Missing","Commitments","2019","Donor","Volume",0,"Poverty"
"213","Finland","Finland","Missing","Commitments","2020","Donor","Volume",0,"Poverty"
"214","Finland","Finland","Missing","Disbursements","2018","Donor","Volume",448.746161587031,"Poverty"
"215","Finland","Finland","Missing","Disbursements","2019","Donor","Volume",602.110595829314,"Poverty"
"216","Finland","Finland","Missing","Disbursements","2020","Donor","Volume",0,"Poverty"
"217","Germany","Germany","5-20%","Commitments","2018","Donor","Volume",1536.34242121751,"Poverty"
"218","Germany","Germany","5-20%","Commitments","2019","Donor","Volume",2066.18473085037,"Poverty"
"219","Germany","Germany","5-20%","Commitments","2020","Donor","Volume",300.738730468655,"Poverty"
"220","Germany","Germany","5-20%","Disbursements","2018","Donor","Volume",102.706247960415,"Poverty"
"221","Germany","Germany","5-20%","Disbursements","2019","Donor","Volume",103.958582971499,"Poverty"
"222","Germany","Germany","5-20%","Disbursements","2020","Donor","Volume",80.7783061778486,"Poverty"
"223","Germany","Germany","Above 20%","Commitments","2018","Donor","Volume",4000.40412188231,"Poverty"
"224","Germany","Germany","Above 20%","Commitments","2019","Donor","Volume",2455.6920810709,"Poverty"
"225","Germany","Germany","Above 20%","Commitments","2020","Donor","Volume",449.86479634125,"Poverty"
"226","Germany","Germany","Above 20%","Disbursements","2018","Donor","Volume",1521.98169325289,"Poverty"
"227","Germany","Germany","Above 20%","Disbursements","2019","Donor","Volume",1307.3212591962,"Poverty"
"228","Germany","Germany","Above 20%","Disbursements","2020","Donor","Volume",670.344982511909,"Poverty"
"229","Germany","Germany","Less than 5%","Commitments","2018","Donor","Volume",4219.27690865498,"Poverty"
"230","Germany","Germany","Less than 5%","Commitments","2019","Donor","Volume",3092.15789741496,"Poverty"
"231","Germany","Germany","Less than 5%","Commitments","2020","Donor","Volume",582.394380613222,"Poverty"
"232","Germany","Germany","Less than 5%","Disbursements","2018","Donor","Volume",566.117891438453,"Poverty"
"233","Germany","Germany","Less than 5%","Disbursements","2019","Donor","Volume",553.697836848728,"Poverty"
"234","Germany","Germany","Less than 5%","Disbursements","2020","Donor","Volume",347.348142836342,"Poverty"
"235","Germany","Germany","Missing","Commitments","2018","Donor","Volume",1473.19865187493,"Poverty"
"236","Germany","Germany","Missing","Commitments","2019","Donor","Volume",2296.36595936384,"Poverty"
"237","Germany","Germany","Missing","Commitments","2020","Donor","Volume",1774.28041536394,"Poverty"
"238","Germany","Germany","Missing","Disbursements","2018","Donor","Volume",459.300997503134,"Poverty"
"239","Germany","Germany","Missing","Disbursements","2019","Donor","Volume",523.628579314278,"Poverty"
"240","Germany","Germany","Missing","Disbursements","2020","Donor","Volume",455.512492797096,"Poverty"
"241","Global Fund","Global Fund","5-20%","Commitments","2018","Donor","Volume",610.2072889,"Poverty"
"242","Global Fund","Global Fund","5-20%","Commitments","2019","Donor","Volume",528.61829873,"Poverty"
"243","Global Fund","Global Fund","5-20%","Commitments","2020","Donor","Volume",576.78961796,"Poverty"
"244","Global Fund","Global Fund","5-20%","Disbursements","2018","Donor","Volume",441.77503207,"Poverty"
"245","Global Fund","Global Fund","5-20%","Disbursements","2019","Donor","Volume",614.84360826,"Poverty"
"246","Global Fund","Global Fund","5-20%","Disbursements","2020","Donor","Volume",616.2377007,"Poverty"
"247","Global Fund","Global Fund","Above 20%","Commitments","2018","Donor","Volume",2806.15911573,"Poverty"
"248","Global Fund","Global Fund","Above 20%","Commitments","2019","Donor","Volume",2015.51849318,"Poverty"
"249","Global Fund","Global Fund","Above 20%","Commitments","2020","Donor","Volume",2523.37253088,"Poverty"
"250","Global Fund","Global Fund","Above 20%","Disbursements","2018","Donor","Volume",2154.08199932,"Poverty"
"251","Global Fund","Global Fund","Above 20%","Disbursements","2019","Donor","Volume",2201.63643982,"Poverty"
"252","Global Fund","Global Fund","Above 20%","Disbursements","2020","Donor","Volume",2859.1123364,"Poverty"
"253","Global Fund","Global Fund","Less than 5%","Commitments","2018","Donor","Volume",442.95997789,"Poverty"
"254","Global Fund","Global Fund","Less than 5%","Commitments","2019","Donor","Volume",407.36402885,"Poverty"
"255","Global Fund","Global Fund","Less than 5%","Commitments","2020","Donor","Volume",602.61993662,"Poverty"
"256","Global Fund","Global Fund","Less than 5%","Disbursements","2018","Donor","Volume",418.03681746,"Poverty"
"257","Global Fund","Global Fund","Less than 5%","Disbursements","2019","Donor","Volume",490.6556953,"Poverty"
"258","Global Fund","Global Fund","Less than 5%","Disbursements","2020","Donor","Volume",570.82992371,"Poverty"
"259","Global Fund","Global Fund","Missing","Commitments","2018","Donor","Volume",92.65977079,"Poverty"
"260","Global Fund","Global Fund","Missing","Commitments","2019","Donor","Volume",192.0270771,"Poverty"
"261","Global Fund","Global Fund","Missing","Commitments","2020","Donor","Volume",187.70146992,"Poverty"
"262","Global Fund","Global Fund","Missing","Disbursements","2018","Donor","Volume",183.16306653,"Poverty"
"263","Global Fund","Global Fund","Missing","Disbursements","2019","Donor","Volume",205.09789802,"Poverty"
"264","Global Fund","Global Fund","Missing","Disbursements","2020","Donor","Volume",207.34142377,"Poverty"
"265","Inter-American Development Bank","Inter-American Development Bank","5-20%","Commitments","2018","Donor","Volume",573.4,"Poverty"
"266","Inter-American Development Bank","Inter-American Development Bank","5-20%","Commitments","2019","Donor","Volume",533.5,"Poverty"
"267","Inter-American Development Bank","Inter-American Development Bank","5-20%","Commitments","2020","Donor","Volume",279.01,"Poverty"
"268","Inter-American Development Bank","Inter-American Development Bank","5-20%","Disbursements","2018","Donor","Volume",436.450936,"Poverty"
"269","Inter-American Development Bank","Inter-American Development Bank","5-20%","Disbursements","2019","Donor","Volume",287.753026,"Poverty"
"270","Inter-American Development Bank","Inter-American Development Bank","5-20%","Disbursements","2020","Donor","Volume",690.926189,"Poverty"
"271","Inter-American Development Bank","Inter-American Development Bank","Above 20%","Commitments","2018","Donor","Volume",423.503,"Poverty"
"272","Inter-American Development Bank","Inter-American Development Bank","Above 20%","Commitments","2019","Donor","Volume",104,"Poverty"
"273","Inter-American Development Bank","Inter-American Development Bank","Above 20%","Commitments","2020","Donor","Volume",60,"Poverty"
